,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15
1392,B,False,1138.2,1136.6,1135.2,1133.5,1132.3,1136.3,1133.9,1133.4,1136.9,1141.0,1142.4,1142.1,1138.6,1138.7,1143.3
1393,B,False,399.35,404.74,406.84,406.5,404.58,406.68,406.14,404.67,408.79,405.84,409.83,416.05,420.13,418.47,418.52
1394,B,False,89.062,93.775,98.341,96.906,99.769,101.61,105.4,107.02,111.0,114.16,118.81,119.19,123.51,124.87,132.93
1395,B,False,71.235,71.805,69.967,69.794,72.479,74.91,73.062,71.756,68.016,66.7,64.066,66.159,62.945,62.658,62.892
1396,B,False,203.15,204.8,204.19,207.99,206.92,203.19,205.03,200.91,202.14,207.68,206.03,204.56,199.84,202.25,204.77
1397,B,False,69.794,72.479,74.91,73.062,71.756,68.016,66.7,64.066,66.159,62.945,62.658,62.892,60.38,61.029,61.598
1398,B,False,82.143,81.763,80.308,79.008,79.082,79.191,79.1,77.739,77.914,78.929,78.925,79.749,79.212,80.201,80.609
1399,B,False,194.78,199.05,202.54,205.24,206.44,200.48,206.8,205.12,205.72,210.02,206.72,203.55,206.95,209.54,208.02
1400,B,False,215.79,212.78,213.1,213.39,212.6,214.4,217.35,215.91,213.68,216.95,216.79,214.44,218.57,217.45,215.96
1401,B,False,165.8,161.05,162.86,164.09,167.24,166.67,167.18,168.5,169.74,168.73,170.87,169.19,169.69,172.72,174.3
