,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10
1910,N,False,179.97,179.78,179.98,179.27,181.11,181.9,185.86,182.24,182.61,182.21
1911,N,False,229.06,231.56,230.09,230.57,229.32,225.99,225.09,230.5,230.63,232.09
1912,N,False,153.06,152.72,158.13,157.84,159.42,158.09,155.89,152.97,154.58,155.9
1913,N,False,198.64,196.13,196.03,199.34,197.15,192.75,192.73,194.96,196.29,194.37
1914,N,False,534.94,535.46,529.57,532.96,533.06,530.77,533.32,534.16,535.79,534.37
1915,N,False,168.46,165.09,165.27,172.38,178.15,176.23,180.21,178.34,173.68,176.73
1916,N,False,648.08,644.64,639.26,637.69,643.65,642.17,642.8,644.44,651.09,655.39
1917,N,False,66.04,67.177,66.18,66.654,65.464,66.21,68.059,66.671,70.68,69.077
1918,N,False,533.3,533.34,532.42,533.42,530.32,532.26,532.24,533.2,531.82,530.59
1919,N,False,714.35,719.43,717.67,718.45,720.3,719.84,714.94,713.19,716.91,722.69
1920,N,False,323.74,328.47,325.28,323.43,323.7,320.51,324.88,328.6,330.55,329.82
1921,N,False,276.15,285.96,289.5,283.35,285.84,292.82,294.43,298.62,305.03,309.12
1922,N,False,82.828,83.732,87.203,85.28,84.634,85.791,86.724,85.468,87.66,86.054
1923,N,False,847.48,843.9,844.91,850.61,841.13,841.39,847.39,841.44,843.42,841.51
